student_id,age,attendance_percentage,study_hours_per_day,assignment_completion_rate,internal_marks,previous_cgpa,extracurricular_activities,part_time_job,performance_category,gender_Male,gender_Other,performance_encoded,academic_score_index,engagement_score,study_efficiency
S0106,21,65.1,4.1,77.1,59.4,5.81,1,1,Good,False,False,2,59.32,71.1,1.383
S0107,20,59.3,,87.6,49.5,4.02,0,0,Average,True,False,1,,73.45,
S0108,20,83.0,4.4,92.3,66.7,5.68,0,0,Excellent,False,False,3,69.89,87.65,1.262
S0109,18,92.8,2.9,83.7,49.5,5.4,1,1,Good,True,False,2,62.1,88.25,1.8
S0110,20,85.8,3.5,80.5,59.0,5.61,1,0,Good,True,False,2,64.03,83.15,1.558
S0111,20,89.9,7.3,96.1,67.9,5.39,1,0,Excellent,False,False,3,77.63,93.0,0.728
S0112,18,63.6,6.7,50.4,66.0,5.97,1,1,Good,True,False,2,60.25,57.0,0.878
S0113,20,53.7,1.4,88.0,39.4,4.0,0,0,At Risk,True,False,0,47.15,70.85,2.667
S0114,22,97.5,5.7,88.3,63.3,6.72,0,1,Excellent,False,False,3,73.69,92.9,1.159
S0115,19,70.2,5.6,82.9,62.2,5.57,1,0,Good,False,False,2,65.23,76.55,0.977
S0116,19,71.2,1.7,100.0,53.5,6.1,1,0,Good,False,False,2,59.36,85.6,3.389
S0117,18,94.9,5.6,76.1,59.9,5.17,0,0,Excellent,False,False,3,69.24,85.5,0.907
S0118,21,83.3,7.1,83.2,65.8,5.53,1,1,Excellent,False,False,3,72.33,83.25,0.768
S0119,18,81.8,1.8,100.0,41.5,4.0,1,0,Average,True,False,1,57.97,90.9,2.105
S0120,21,100.0,2.2,66.9,36.6,4.9,1,1,Average,True,False,1,54.86,83.45,2.13
S0121,19,65.3,6.0,78.7,59.2,4.98,1,1,Good,True,False,2,62.78,72.0,0.816
S0122,18,88.9,4.5,81.8,65.0,6.42,0,0,Excellent,False,False,3,68.84,85.35,1.396
S0123,23,75.9,5.1,,60.2,5.31,1,0,Good,False,False,2,,,1.021
S0124,22,79.0,4.7,87.5,,4.0,1,0,Average,True,False,1,,83.25,0.833
S0125,20,97.9,4.8,65.2,61.0,5.2,1,0,Excellent,True,False,3,66.87,81.55,1.061
S0126,21,82.6,1.3,69.6,30.9,4.0,0,0,At Risk,False,False,0,47.55,76.1,2.857
S0127,23,83.1,6.1,78.1,74.2,6.48,1,0,Excellent,True,False,3,72.53,80.6,1.045
S0128,20,91.1,6.3,86.4,57.5,4.5,0,1,Good,False,False,2,70.68,88.75,0.703
S0129,20,69.5,3.5,88.4,61.4,6.42,0,1,Excellent,True,False,3,62.38,78.95,1.783
S0130,18,62.4,3.9,89.1,58.0,5.41,1,1,Good,False,False,2,60.22,75.75,1.352
S0131,20,59.3,0.9,50.2,33.3,4.0,0,1,At Risk,True,False,0,38.02,54.75,4.0
S0132,22,45.5,5.0,100.0,39.6,4.9,1,0,Average,False,False,1,53.57,72.75,0.961
S0133,23,,5.1,89.0,68.1,6.86,0,0,Excellent,False,False,3,,,1.319
S0134,20,58.5,,100.0,42.5,4.53,1,1,Average,False,False,1,,79.25,
S0135,18,71.7,6.2,94.1,60.9,5.04,0,0,Good,False,False,2,68.39,82.9,0.8
S0136,22,70.8,3.3,98.1,47.3,4.0,0,1,Average,False,False,1,59.38,84.45,1.176
S0137,19,79.6,5.1,92.2,44.9,4.15,0,0,Average,False,False,1,62.55,85.9,0.798
S0138,23,87.2,2.0,99.2,34.3,4.0,1,0,Average,True,False,1,56.98,93.2,1.905
S0139,20,87.9,,90.8,60.2,5.7,1,1,Excellent,False,False,3,,89.35,
S0140,18,66.3,3.7,,46.5,4.51,0,1,Average,False,False,1,,,1.187
S0141,19,,4.5,100.0,50.8,5.6,1,0,Good,True,False,2,,,1.217
S0142,19,79.2,3.3,94.9,59.2,5.06,1,1,Good,False,False,2,65.0,87.05,1.488
S0143,21,71.3,3.7,91.0,61.9,5.67,1,0,Good,False,False,2,63.86,81.15,1.492
S0144,22,99.1,5.7,67.3,64.6,6.82,0,0,Excellent,False,False,3,70.34,83.2,1.176
S0145,20,82.4,3.1,61.9,51.3,5.35,1,1,Good,True,False,2,56.1,72.15,1.672
S0146,18,86.0,0.8,81.0,52.2,5.08,0,0,Good,True,False,2,57.3,83.5,5.644
S0147,21,84.9,7.5,92.2,57.1,4.94,0,0,Excellent,False,True,3,72.15,88.55,0.65
S0148,22,92.6,6.8,79.4,70.0,5.69,1,0,Excellent,False,False,3,74.86,86.0,0.825
S0149,21,77.7,1.4,79.9,51.9,4.43,1,0,Average,True,False,1,55.9,78.8,2.953
S0150,23,55.5,5.4,100.0,58.3,5.07,0,0,Good,False,False,2,63.28,77.75,0.922
S0151,22,81.0,3.0,91.4,37.8,4.87,0,0,Average,False,False,1,56.76,86.2,1.571
S0152,22,65.2,4.5,66.9,47.0,4.64,1,0,Average,True,False,1,53.63,66.05,1.009
S0153,20,67.1,4.6,82.5,46.9,4.0,1,1,Average,False,False,1,57.36,74.8,0.851
S0154,22,83.8,3.5,69.9,56.4,6.8,0,0,Excellent,True,False,3,60.5,76.85,1.889
S0155,21,93.6,2.4,74.0,59.1,5.8,1,1,Excellent,True,False,3,62.88,83.8,2.32
S0156,22,75.3,2.6,74.0,62.4,4.62,0,0,Good,True,False,2,59.8,74.65,1.711
S0157,20,79.6,2.2,72.2,46.5,4.44,0,0,Average,False,False,1,54.28,75.9,1.93
S0158,20,100.0,2.3,60.8,52.9,5.26,1,0,Good,True,False,2,59.51,80.4,2.192
S0159,23,78.6,3.9,80.9,64.5,7.23,0,0,Excellent,True,False,3,64.9,79.75,1.808
S0160,21,100.0,2.6,71.8,60.2,4.73,0,0,Good,True,False,2,64.76,85.9,1.752
S0161,19,83.5,5.4,41.9,71.4,7.06,1,0,Excellent,False,False,3,63.24,62.7,1.284
S0162,19,48.6,7.0,100.0,57.9,6.59,1,0,Excellent,False,False,3,64.08,74.3,0.928
S0163,22,86.3,2.8,96.9,45.0,4.2,0,0,Average,True,False,1,61.37,91.6,1.448
S0164,23,80.7,4.5,78.4,47.0,4.6,1,0,Average,True,False,1,59.8,79.55,1.0
S0165,18,94.3,5.0,85.3,50.9,4.22,1,0,Good,False,False,2,66.78,89.8,0.827
S0166,22,85.1,4.9,67.2,65.5,5.77,0,0,Excellent,True,False,3,65.81,76.15,1.154
S0167,23,72.9,4.2,100.0,64.0,5.81,1,1,Excellent,True,False,3,67.62,86.45,1.351
S0168,21,56.6,5.5,100.0,68.3,6.63,0,0,Excellent,True,False,3,67.22,78.3,1.184
S0169,21,71.9,5.0,87.4,63.3,6.67,1,0,Excellent,True,False,3,65.94,79.65,1.308
S0170,21,62.2,1.5,93.4,52.5,4.55,1,0,Average,True,False,1,55.1,77.8,2.844
S0171,21,66.3,5.7,89.0,52.3,4.0,1,1,Average,True,False,1,62.18,77.65,0.69
S0172,21,83.8,5.8,66.5,53.3,5.18,0,0,Good,True,False,2,62.57,75.15,0.878
S0173,23,100.0,2.5,73.8,64.3,6.09,1,1,Excellent,False,False,3,66.43,86.9,2.342
S0174,23,80.9,4.1,85.2,59.9,5.79,1,0,Excellent,True,False,3,65.06,83.05,1.379
S0175,20,57.1,5.4,79.0,54.2,4.99,0,1,Average,False,False,1,58.04,68.05,0.907
S0176,19,81.7,3.6,78.9,58.4,5.6,0,1,Good,False,False,2,62.64,80.3,1.514
S0177,21,92.9,6.1,,68.8,7.34,0,1,Excellent,True,False,3,,,1.184
S0178,18,65.9,8.7,91.2,76.1,6.87,1,0,Excellent,False,False,3,75.85,78.55,0.781
S0179,23,73.0,2.4,80.6,59.5,5.27,1,0,Good,True,False,2,59.2,76.8,2.108
S0180,18,75.2,1.2,61.5,50.5,4.63,0,0,Average,False,False,1,50.77,68.35,3.562
S0181,18,63.2,4.6,73.4,59.5,5.43,1,0,Good,True,False,2,58.97,68.3,1.155
S0182,18,84.7,5.4,66.5,65.7,,1,1,Excellent,True,False,3,66.47,75.6,
S0183,20,73.2,3.5,96.7,48.8,4.78,1,0,Good,True,False,2,60.55,84.95,1.328
S0184,23,81.3,6.9,57.2,71.1,6.25,0,0,Excellent,False,True,3,68.15,69.25,0.893
S0185,18,61.7,1.3,94.9,31.3,4.0,1,0,At Risk,True,False,0,47.53,78.3,2.857
S0186,21,68.4,5.4,100.0,65.2,6.79,0,0,Excellent,False,False,3,68.92,84.2,1.235
S0187,22,85.8,2.8,76.1,44.6,6.24,0,0,Good,True,False,2,56.95,80.95,2.152
S0188,18,69.4,7.4,50.8,65.3,6.28,1,1,Excellent,False,False,3,62.7,60.1,0.837
S0189,20,100.0,8.0,85.6,67.2,6.1,0,0,Excellent,True,False,3,78.97,92.8,0.753
S0190,23,69.0,2.5,79.0,52.6,5.19,0,0,Average,False,False,1,55.63,74.0,1.996
S0191,20,78.4,2.9,65.6,51.9,4.0,0,0,Average,True,False,1,55.72,72.0,1.333
S0192,18,89.0,5.7,78.7,51.0,5.66,0,0,Good,True,False,2,65.34,83.85,0.976
S0193,23,53.7,3.2,100.0,49.1,5.05,0,0,Average,True,False,1,55.94,76.85,1.53
S0194,22,48.6,3.9,92.8,41.7,4.84,1,0,Average,True,False,1,51.8,70.7,1.21
S0195,18,52.1,4.1,69.3,55.0,4.73,0,1,Average,False,False,1,52.97,60.7,1.126
S0196,20,93.9,0.2,51.4,48.8,,0,1,Average,True,False,1,51.17,72.65,
S0197,19,66.7,,78.1,55.2,4.98,0,1,Average,False,False,1,,72.4,
S0198,21,100.0,2.6,,50.1,5.82,1,0,Good,True,False,2,,,2.156
S0199,20,66.5,3.0,88.4,44.2,4.35,1,1,Average,False,False,1,54.78,77.45,1.403
S0200,23,77.8,6.9,,60.4,7.29,0,1,Excellent,True,False,3,,,1.041
S0201,18,98.1,1.5,85.7,60.8,5.99,1,1,Excellent,True,False,3,65.44,91.9,3.744
S0202,21,100.0,5.6,,80.2,5.79,0,0,Excellent,False,False,3,,,1.016
S0203,18,100.0,3.4,94.0,53.8,5.13,0,1,Excellent,True,False,3,68.3,97.0,1.466
S0204,23,93.1,3.4,81.1,66.7,5.48,0,1,Excellent,True,False,3,68.51,87.1,1.566
S0205,18,,5.6,83.5,46.6,4.0,0,1,Good,False,False,2,,,0.702
S0206,19,83.9,4.7,,49.7,6.26,0,0,Good,False,False,2,,,1.304
S0207,21,86.7,5.1,,53.6,5.78,1,1,Excellent,True,False,3,,,1.112
S0208,21,66.7,5.9,77.4,46.9,5.24,0,1,Good,True,False,2,58.4,72.05,0.873
S0209,23,62.7,,82.3,36.0,4.29,1,0,At Risk,False,False,0,,72.5,
S0210,19,74.9,2.8,81.4,54.2,4.15,0,0,Average,True,False,1,58.64,78.15,1.431
S0211,20,72.4,1.8,71.1,45.4,,0,1,Average,True,False,1,51.21,71.75,
S0212,18,68.2,2.3,59.0,50.4,5.7,1,0,Average,True,False,1,50.32,63.6,2.375
S0213,22,85.4,9.9,99.6,80.8,6.01,1,0,Excellent,False,False,3,86.05,92.5,0.601
S0214,18,89.3,6.5,87.1,68.4,4.08,0,0,Excellent,False,False,3,74.52,88.2,0.618
S0215,18,,1.3,85.1,52.1,4.94,1,1,Average,True,False,1,,,3.529
S0216,20,97.2,1.4,69.8,52.8,5.05,0,0,Good,True,False,2,59.07,83.5,3.367
S0217,18,57.9,5.0,100.0,42.9,4.68,0,0,Average,True,False,1,57.82,78.95,0.918
S0218,19,,5.1,72.0,65.4,6.51,0,0,Excellent,False,False,3,,,1.252
S0219,19,64.2,5.1,100.0,49.8,5.5,0,1,Good,True,False,2,61.98,82.1,1.058
S0220,21,47.0,3.5,55.8,37.1,4.43,0,0,At Risk,True,False,0,41.73,51.4,1.231
S0221,23,73.8,3.7,88.9,51.8,6.06,0,1,Good,False,False,2,60.53,81.35,1.595
S0222,22,73.2,4.7,91.5,48.8,4.0,1,1,Average,True,False,1,61.51,82.35,0.833
S0223,18,97.7,4.2,71.5,58.6,5.92,0,0,Excellent,False,False,3,66.24,84.6,1.377
S0224,18,84.5,0.0,,48.1,5.39,1,0,Average,True,False,1,,,53.9
S0225,20,59.6,3.5,100.0,51.2,4.08,0,0,Average,True,False,1,58.65,79.8,1.133
S0226,23,100.0,2.3,46.3,49.7,4.0,1,0,Average,True,False,1,55.49,73.15,1.667
S0227,19,93.3,4.4,,57.3,4.84,1,0,Good,False,False,2,,,1.076
S0228,22,83.7,10.0,57.6,83.7,6.49,0,1,Excellent,False,False,3,78.41,70.65,0.643
S0229,21,71.6,4.7,69.9,59.6,6.18,0,1,Good,False,False,2,60.57,70.75,1.288
S0230,19,60.6,3.4,100.0,65.0,5.41,1,0,Good,True,False,2,63.57,80.3,1.546
S0231,23,69.4,5.8,77.9,67.7,5.38,1,0,Good,False,False,2,66.29,73.65,0.912
S0232,21,91.3,5.0,67.4,71.5,5.8,0,0,Excellent,True,False,3,69.66,79.35,1.137
S0233,20,100.0,4.8,81.6,53.3,6.09,0,0,Excellent,True,False,3,67.97,90.8,1.243
S0234,20,98.1,5.2,100.0,71.1,6.28,1,0,Excellent,False,False,3,78.08,99.05,1.185
S0235,18,67.7,8.1,63.7,64.2,5.71,0,1,Good,True,False,2,65.63,65.7,0.696
S0236,23,58.2,1.7,62.6,38.2,4.2,1,1,At Risk,True,False,0,43.27,60.4,2.333
S0237,22,,4.9,100.0,59.2,6.59,0,0,Excellent,True,False,3,,,1.318
S0238,21,48.5,2.1,100.0,48.4,4.3,0,1,At Risk,True,False,0,52.56,74.25,1.955
S0239,19,79.8,5.1,83.6,63.2,6.84,1,0,Excellent,True,False,3,67.29,81.7,1.315
S0240,23,72.8,2.2,,41.4,4.65,1,1,Average,False,False,1,,,2.022
S0241,23,68.0,3.2,100.0,55.9,5.23,0,0,Good,True,False,2,61.9,84.0,1.585
S0242,20,51.1,3.4,100.0,40.4,6.42,1,0,Average,False,False,1,52.58,75.55,1.834
S0243,18,82.7,6.0,97.2,64.5,,1,1,Excellent,False,False,3,72.69,89.95,
S0244,18,67.0,5.8,74.4,55.1,5.02,1,0,Good,True,False,2,60.58,70.7,0.851
S0245,21,57.5,1.5,77.3,40.0,4.0,0,1,At Risk,True,False,0,46.34,67.4,2.5
S0246,20,31.9,4.1,80.8,48.0,5.64,1,0,Average,True,False,1,47.77,56.35,1.343
S0247,23,74.6,2.6,85.2,41.9,5.87,1,0,Good,False,False,2,54.69,79.9,2.174
S0248,22,100.0,,99.8,70.1,7.54,1,0,Excellent,True,False,3,,99.9,
S0249,20,99.9,3.6,95.4,46.2,5.75,1,0,Excellent,False,False,3,66.23,97.65,1.554
S0250,21,,3.4,65.6,45.8,4.59,0,0,Average,True,False,1,,,1.311
S0251,21,66.0,8.9,100.0,69.5,5.88,1,0,Excellent,False,False,3,75.66,83.0,0.653
S0252,20,82.0,4.9,89.5,64.0,4.5,1,0,Good,True,False,2,68.97,85.75,0.9
S0253,21,60.0,1.2,87.7,40.8,6.08,0,0,Average,True,False,1,48.82,73.85,4.677
S0254,20,79.5,2.9,100.0,,5.5,1,1,Good,False,False,2,,89.75,1.833
S0255,19,86.5,6.0,70.3,67.2,,0,0,Excellent,False,False,3,69.2,78.4,
S0256,20,93.4,8.2,90.9,70.8,7.31,1,1,Excellent,True,False,3,79.98,92.15,0.881
S0257,20,73.5,0.8,68.6,55.6,4.56,0,0,Average,False,False,1,52.89,71.05,5.067
S0258,21,71.9,0.2,51.9,48.9,5.26,1,0,Average,True,False,1,45.8,61.9,17.533
S0259,21,61.8,7.7,95.6,68.6,5.98,1,0,Excellent,False,False,3,71.41,78.7,0.767
S0260,18,62.6,4.8,100.0,45.5,5.24,1,0,Good,False,False,2,59.58,81.3,1.069
S0261,18,71.6,2.3,52.0,47.7,4.81,1,0,Average,True,False,1,48.83,61.8,2.004
S0262,19,80.5,5.1,84.7,57.0,4.26,1,0,Good,True,False,2,65.52,82.6,0.819
S0263,18,88.7,0.0,84.6,38.6,4.38,0,0,Average,True,False,1,52.6,86.65,43.8
S0264,20,63.0,4.0,84.8,53.8,6.07,1,0,Good,False,False,2,58.21,73.9,1.48
S0265,21,97.4,4.7,82.7,59.0,5.52,1,1,Excellent,False,False,3,69.37,90.05,1.15
S0266,18,70.9,5.8,67.1,63.9,6.45,1,0,Excellent,True,False,3,63.18,69.0,1.093
S0267,18,74.7,2.0,82.5,39.8,4.0,0,0,At Risk,True,False,0,52.44,78.6,1.905
S0268,19,63.8,4.2,72.0,65.5,5.91,1,0,Good,False,False,2,60.28,67.9,1.374
S0269,23,38.6,,46.4,30.7,4.0,1,1,At Risk,False,True,0,,42.5,
S0270,19,88.3,4.5,100.0,61.7,6.3,1,0,Excellent,False,False,3,71.17,94.15,1.37
S0271,20,86.1,2.2,93.8,58.8,5.55,0,0,Good,True,False,2,64.53,89.95,2.413
S0272,21,70.8,3.2,82.2,46.3,5.33,0,0,Average,True,False,1,55.68,76.5,1.615
S0273,19,76.0,2.0,82.4,55.6,6.21,1,0,Good,True,False,2,58.27,79.2,2.957
S0274,18,82.7,5.3,100.0,50.9,,0,0,Excellent,False,False,3,67.32,91.35,
