student_id,age,gender,attendance_percentage,study_hours_per_day,assignment_completion_rate,internal_marks,previous_cgpa,extracurricular_activities,part_time_job,performance_category
S0039,21,Male,71.8,1.0,100.0,50.6,5.24,1,1,Good
S0040,21,Male,97.4,3.3,90.2,60.7,6.6,1,0,Excellent
S0041,18,Male,77.2,5.8,100.0,64.3,5.24,0,0,Excellent
S0042,20,Other,69.9,5.2,65.3,51.4,4.69,1,1,Average
S0043,22,Male,65.8,5.0,64.5,41.5,4.08,0,0,At Risk
S0044,20,Female,70.5,4.1,81.0,57.5,4.81,0,1,Good
S0045,22,Male,69.2,4.0,90.5,36.3,4.0,1,0,Average
S0046,18,Female,77.6,2.7,100.0,48.8,5.54,0,1,Good
S0047,19,Female,77.4,5.4,96.4,66.9,5.17,0,0,Excellent
S0048,21,Female,75.0,4.8,81.0,58.4,5.85,1,1,Good
S0049,18,Male,81.6,5.0,69.6,75.1,5.14,0,1,Excellent
S0050,21,Male,92.9,2.9,99.3,64.8,5.44,1,0,Excellent
S0051,23,Male,89.2,0.0,60.5,41.5,4.23,1,0,Average
S0052,19,Female,52.7,6.2,100.0,54.6,6.62,0,0,Good
S0053,19,Female,36.7,3.0,76.7,39.6,4.16,0,1,At Risk
S0054,18,Female,89.0,2.3,100.0,40.9,4.0,1,0,Average
S0055,19,Male,54.5,5.4,96.0,45.0,4.0,1,0,Average
S0056,22,Female,71.6,3.2,79.3,46.6,4.82,0,0,Average
S0057,19,Female,57.4,6.1,79.4,39.2,4.84,1,0,Average
S0058,21,Male,48.0,5.2,80.3,50.4,5.32,0,0,Average
S0059,21,Male,83.1,5.4,92.2,59.1,5.68,1,1,Excellent
S0060,21,Female,86.4,1.3,78.8,36.4,5.11,0,0,Average
S0061,21,Female,66.4,6.4,78.9,62.4,5.31,0,1,Good
S0062,22,Female,36.1,4.5,81.5,50.1,5.72,0,0,Average
S0063,20,Male,66.8,3.3,82.8,51.8,4.0,1,0,Average
S0064,23,Female,80.9,4.3,51.7,54.6,4.55,1,0,Average
S0065,18,Male,52.8,0.4,82.7,41.8,4.0,1,0,At Risk
S0066,21,Male,77.8,4.8,69.9,63.2,5.57,0,1,Good
S0067,19,Male,74.8,1.9,61.5,50.6,5.0,0,1,Average
S0068,21,Female,83.7,1.3,52.3,42.4,4.64,0,0,Average
S0069,19,Female,76.8,1.0,50.1,48.3,4.95,1,0,Average
S0070,23,Female,60.4,6.2,67.1,66.3,5.24,1,0,Good
S0071,23,Male,92.9,2.7,69.8,51.2,4.92,1,1,Good
S0072,23,Female,72.6,7.1,100.0,79.9,5.6,0,1,Excellent
S0073,19,Male,74.6,2.9,72.9,46.9,5.9,1,1,Good
S0074,21,Female,61.0,0.6,78.9,40.4,4.18,0,0,At Risk
S0075,23,Male,68.4,1.8,84.6,40.5,4.04,1,0,At Risk
S0076,22,Male,61.7,6.5,90.0,59.8,6.86,0,0,Excellent
S0077,19,Male,72.4,3.7,81.2,38.9,4.0,1,0,Average
S0078,19,Male,100.0,2.9,62.9,54.3,4.36,0,0,Good
S0079,21,Female,54.4,4.3,100.0,40.5,4.0,1,0,At Risk
S0080,19,Male,50.8,5.0,100.0,51.3,5.02,1,0,Average
S0081,19,Male,97.1,6.2,62.2,75.7,6.89,1,1,Excellent
S0082,23,Female,71.9,6.9,73.4,67.4,6.64,1,1,Excellent
S0083,21,Male,65.0,3.3,77.4,30.4,5.88,1,0,Average
S0084,23,Female,90.6,1.3,63.1,67.4,4.24,1,0,Good
S0085,23,Female,65.9,3.2,89.0,51.7,5.59,1,0,Good
S0086,21,Female,100.0,4.5,73.1,57.3,4.99,0,1,Good
S0087,18,Male,85.2,2.1,100.0,53.1,4.72,1,1,Good
S0088,23,Female,67.7,2.1,97.1,48.0,4.38,1,1,Average
S0089,22,Female,100.0,4.7,87.6,58.8,4.8,0,1,Excellent
S0090,22,Male,65.9,3.9,98.2,53.1,6.53,1,0,Good
S0091,19,Male,86.1,4.1,99.8,53.3,5.87,0,0,Excellent
S0092,22,Female,79.5,2.5,71.5,48.1,4.9,0,0,Average
S0093,19,Female,94.5,3.5,69.8,53.4,6.28,0,0,Excellent
S0094,18,Female,98.4,2.2,80.6,44.7,4.0,0,1,Average
S0095,21,Female,75.5,5.8,99.5,61.2,4.61,1,0,Good
S0096,21,Female,63.7,6.1,89.3,62.1,4.0,1,0,Good
S0097,21,Male,81.9,0.3,51.9,49.6,4.42,1,0,Average
S0098,22,Male,64.8,2.1,67.2,52.3,5.27,1,1,Average
S0099,18,Male,100.0,1.0,75.9,55.6,5.42,0,0,Good
S0100,22,Female,77.0,2.7,79.3,46.9,4.93,1,0,Average
S0101,22,Male,69.5,3.8,100.0,59.0,4.41,1,0,Good
S0102,18,Female,77.8,1.1,56.4,35.8,4.79,1,0,At Risk
S0103,18,Female,54.8,2.2,87.0,35.8,4.34,1,0,At Risk
S0104,18,Female,60.4,2.0,100.0,36.4,4.77,1,1,Average
S0105,18,Male,93.0,4.4,100.0,69.7,4.67,1,0,Excellent
S0106,21,Female,65.1,4.1,77.1,59.4,5.81,1,1,Good
S0107,20,Male,59.3,2.6,87.6,49.5,4.02,0,0,Average
S0108,20,Female,83.0,4.4,92.3,66.7,5.68,0,0,Excellent
S0109,18,Male,92.8,2.9,83.7,49.5,5.4,1,1,Good
S0110,20,Male,85.8,3.5,80.5,59.0,5.61,1,0,Good
S0111,20,Female,89.9,7.3,96.1,67.9,5.39,1,0,Excellent
S0112,18,Male,63.6,6.7,50.4,66.0,5.97,1,1,Good
S0113,20,Male,53.7,1.4,88.0,39.4,4.0,0,0,At Risk
S0114,22,Female,97.5,5.7,88.3,63.3,6.72,0,1,Excellent
S0115,19,Female,70.2,5.6,82.9,62.2,5.57,1,0,Good
S0116,19,Female,71.2,1.7,100.0,53.5,6.1,1,0,Good
S0117,18,Female,94.9,5.6,76.1,59.9,5.17,0,0,Excellent
S0118,21,Female,83.3,7.1,83.2,65.8,5.53,1,1,Excellent
S0119,18,Male,81.8,1.8,100.0,41.5,4.0,1,0,Average
S0120,21,Male,100.0,2.2,66.9,36.6,4.9,1,1,Average
S0121,19,Male,65.3,6.0,78.7,59.2,4.98,1,1,Good
S0122,18,Female,88.9,4.5,81.8,65.0,6.42,0,0,Excellent
S0123,23,Female,75.9,5.1,97.8,60.2,5.31,1,0,Good
S0124,22,Male,79.0,4.7,87.5,42.2,4.0,1,0,Average
S0125,20,Male,97.9,4.8,65.2,61.0,5.2,1,0,Excellent
S0126,21,Female,82.6,1.3,69.6,30.9,4.0,0,0,At Risk
S0127,23,Male,83.1,6.1,78.1,74.2,6.48,1,0,Excellent
S0128,20,Female,91.1,6.3,86.4,57.5,4.5,0,1,Good
S0129,20,Male,69.5,3.5,88.4,61.4,6.42,0,1,Excellent
S0130,18,Female,62.4,3.9,89.1,58.0,5.41,1,1,Good
S0131,20,Male,59.3,0.9,50.2,33.3,4.0,0,1,At Risk
S0132,22,Female,45.5,5.0,100.0,39.6,4.9,1,0,Average
S0133,23,Female,100.0,5.1,89.0,68.1,6.86,0,0,Excellent
S0134,20,Female,58.5,3.9,100.0,42.5,4.53,1,1,Average
S0135,18,Female,71.7,6.2,94.1,60.9,5.04,0,0,Good
S0136,22,Female,70.8,3.3,98.1,47.3,4.0,0,1,Average
S0137,19,Female,79.6,5.1,92.2,44.9,4.15,0,0,Average
S0138,23,Male,87.2,2.0,99.2,34.3,4.0,1,0,Average
S0139,20,Female,87.9,4.0,90.8,60.2,5.7,1,1,Excellent
S0140,18,Female,66.3,3.7,80.9,46.5,4.51,0,1,Average
S0141,19,Male,72.5,4.5,100.0,50.8,5.6,1,0,Good
S0142,19,Female,79.2,3.3,94.9,59.2,5.06,1,1,Good
S0143,21,Female,71.3,3.7,91.0,61.9,5.67,1,0,Good
S0144,22,Female,99.1,5.7,67.3,64.6,6.82,0,0,Excellent
S0145,20,Male,82.4,3.1,61.9,51.3,5.35,1,1,Good
S0146,18,Male,86.0,0.8,81.0,52.2,5.08,0,0,Good
S0147,21,Other,84.9,7.5,92.2,57.1,4.94,0,0,Excellent
S0148,22,Female,92.6,6.8,79.4,70.0,5.69,1,0,Excellent
S0149,21,Male,77.7,1.4,79.9,51.9,4.43,1,0,Average
S0150,23,Female,55.5,5.4,100.0,58.3,5.07,0,0,Good
S0151,22,Female,81.0,3.0,91.4,37.8,4.87,0,0,Average
S0152,22,Male,65.2,4.5,66.9,47.0,4.64,1,0,Average
S0153,20,Female,67.1,4.6,82.5,46.9,4.0,1,1,Average
S0154,22,Male,83.8,3.5,69.9,56.4,6.8,0,0,Excellent
S0155,21,Male,93.6,2.4,74.0,59.1,5.8,1,1,Excellent
S0156,22,Male,75.3,2.6,74.0,62.4,4.62,0,0,Good
S0157,20,Female,79.6,2.2,72.2,46.5,4.44,0,0,Average
S0158,20,Male,100.0,2.3,60.8,52.9,5.26,1,0,Good
S0159,23,Male,78.6,3.9,80.9,64.5,7.23,0,0,Excellent
S0160,21,Male,100.0,2.6,71.8,60.2,4.73,0,0,Good
S0161,19,Female,83.5,5.4,41.9,71.4,7.06,1,0,Excellent
S0162,19,Female,48.6,7.0,100.0,57.9,6.59,1,0,Excellent
S0163,22,Male,86.3,2.8,96.9,45.0,4.2,0,0,Average
S0164,23,Male,80.7,4.5,78.4,47.0,4.6,1,0,Average
S0165,18,Female,94.3,5.0,85.3,50.9,4.22,1,0,Good
S0166,22,Male,85.1,4.9,67.2,65.5,5.77,0,0,Excellent
S0167,23,Male,72.9,4.2,100.0,64.0,5.81,1,1,Excellent
S0168,21,Male,56.6,5.5,100.0,68.3,6.63,0,0,Excellent
S0169,21,Male,71.9,5.0,87.4,63.3,6.67,1,0,Excellent
S0170,21,Male,62.2,1.5,93.4,52.5,4.55,1,0,Average
S0171,21,Male,66.3,5.7,89.0,52.3,4.0,1,1,Average
S0172,21,Male,83.8,5.8,66.5,53.3,5.18,0,0,Good
S0173,23,Female,100.0,2.5,73.8,64.3,6.09,1,1,Excellent
S0174,23,Male,80.9,4.1,85.2,59.9,5.79,1,0,Excellent
S0175,20,Female,57.1,5.4,79.0,54.2,4.99,0,1,Average
S0176,19,Female,81.7,3.6,78.9,58.4,5.6,0,1,Good
S0177,21,Male,92.9,6.1,85.8,68.8,7.34,0,1,Excellent
S0178,18,Female,65.9,8.7,91.2,76.1,6.87,1,0,Excellent
S0179,23,Male,73.0,2.4,80.6,59.5,5.27,1,0,Good
S0180,18,Female,75.2,1.2,61.5,50.5,4.63,0,0,Average
S0181,18,Male,63.2,4.6,73.4,59.5,5.43,1,0,Good
S0182,18,Male,84.7,5.4,66.5,65.7,7.25,1,1,Excellent
S0183,20,Male,73.2,3.5,96.7,48.8,4.78,1,0,Good
S0184,23,Other,81.3,6.9,57.2,71.1,6.25,0,0,Excellent
S0185,18,Male,61.7,1.3,94.9,31.3,4.0,1,0,At Risk
S0186,21,Female,68.4,5.4,100.0,65.2,6.79,0,0,Excellent
S0187,22,Male,85.8,2.8,76.1,44.6,6.24,0,0,Good
S0188,18,Female,69.4,7.4,50.8,65.3,6.28,1,1,Excellent
S0189,20,Male,100.0,8.0,85.6,67.2,6.1,0,0,Excellent
S0190,23,Female,69.0,2.5,79.0,52.6,5.19,0,0,Average
S0191,20,Male,78.4,2.9,65.6,51.9,4.0,0,0,Average
S0192,18,Male,89.0,5.7,78.7,51.0,5.66,0,0,Good
S0193,23,Male,53.7,3.2,100.0,49.1,5.05,0,0,Average
S0194,22,Male,48.6,3.9,92.8,41.7,4.84,1,0,Average
S0195,18,Female,52.1,4.1,69.3,55.0,4.73,0,1,Average
S0196,20,Male,93.9,0.2,51.4,48.8,4.62,0,1,Average
S0197,19,Female,66.7,4.0,78.1,55.2,4.98,0,1,Average
S0198,21,Male,100.0,2.6,77.0,50.1,5.82,1,0,Good
S0199,20,Female,66.5,3.0,88.4,44.2,4.35,1,1,Average
S0200,23,Male,77.8,6.9,80.8,60.4,7.29,0,1,Excellent
S0201,18,Male,98.1,1.5,85.7,60.8,5.99,1,1,Excellent
S0202,21,Female,100.0,5.6,100.0,80.2,5.79,0,0,Excellent
S0203,18,Male,100.0,3.4,94.0,53.8,5.13,0,1,Excellent
S0204,23,Male,93.1,3.4,81.1,66.7,5.48,0,1,Excellent
S0205,18,Female,90.4,5.6,83.5,46.6,4.0,0,1,Good
S0206,19,Female,83.9,4.7,79.0,49.7,6.26,0,0,Good
S0207,21,Male,86.7,5.1,100.0,53.6,5.78,1,1,Excellent
S0208,21,Male,66.7,5.9,77.4,46.9,5.24,0,1,Good
S0209,23,Female,62.7,3.3,82.3,36.0,4.29,1,0,At Risk
S0210,19,Male,74.9,2.8,81.4,54.2,4.15,0,0,Average
S0211,20,Male,72.4,1.8,71.1,45.4,4.34,0,1,Average
S0212,18,Male,68.2,2.3,59.0,50.4,5.7,1,0,Average
S0213,22,Female,85.4,9.9,99.6,80.8,6.01,1,0,Excellent
S0214,18,Female,89.3,6.5,87.1,68.4,4.08,0,0,Excellent
S0215,18,Male,76.3,1.3,85.1,52.1,4.94,1,1,Average
S0216,20,Male,97.2,1.4,69.8,52.8,5.05,0,0,Good
S0217,18,Male,57.9,5.0,100.0,42.9,4.68,0,0,Average
S0218,19,Female,72.1,5.1,72.0,65.4,6.51,0,0,Excellent
S0219,19,Male,64.2,5.1,100.0,49.8,5.5,0,1,Good
S0220,21,Male,47.0,3.5,55.8,37.1,4.43,0,0,At Risk
S0221,23,Female,73.8,3.7,88.9,51.8,6.06,0,1,Good
S0222,22,Male,73.2,4.7,91.5,48.8,4.0,1,1,Average
S0223,18,Female,97.7,4.2,71.5,58.6,5.92,0,0,Excellent
S0224,18,Male,84.5,0.0,81.4,48.1,5.39,1,0,Average
S0225,20,Male,59.6,3.5,100.0,51.2,4.08,0,0,Average
S0226,23,Male,100.0,2.3,46.3,49.7,4.0,1,0,Average
S0227,19,Female,93.3,4.4,91.3,57.3,4.84,1,0,Good
S0228,22,Female,83.7,10.0,57.6,83.7,6.49,0,1,Excellent
S0229,21,Female,71.6,4.7,69.9,59.6,6.18,0,1,Good
S0230,19,Male,60.6,3.4,100.0,65.0,5.41,1,0,Good
S0231,23,Female,69.4,5.8,77.9,67.7,5.38,1,0,Good
S0232,21,Male,91.3,5.0,67.4,71.5,5.8,0,0,Excellent
S0233,20,Male,100.0,4.8,81.6,53.3,6.09,0,0,Excellent
S0234,20,Female,98.1,5.2,100.0,71.1,6.28,1,0,Excellent
S0235,18,Male,67.7,8.1,63.7,64.2,5.71,0,1,Good
S0236,23,Male,58.2,1.7,62.6,38.2,4.2,1,1,At Risk
S0237,22,Male,77.1,4.9,100.0,59.2,6.59,0,0,Excellent
S0238,21,Male,48.5,2.1,100.0,48.4,4.3,0,1,At Risk
S0239,19,Male,79.8,5.1,83.6,63.2,6.84,1,0,Excellent
S0240,23,Female,72.8,2.2,60.8,41.4,4.65,1,1,Average
S0241,23,Male,68.0,3.2,100.0,55.9,5.23,0,0,Good
S0242,20,Female,51.1,3.4,100.0,40.4,6.42,1,0,Average
S0243,18,Female,82.7,6.0,97.2,64.5,5.03,1,1,Excellent
S0244,18,Male,67.0,5.8,74.4,55.1,5.02,1,0,Good
S0245,21,Male,57.5,1.5,77.3,40.0,4.0,0,1,At Risk
S0246,20,Male,31.9,4.1,80.8,48.0,5.64,1,0,Average
S0247,23,Female,74.6,2.6,85.2,41.9,5.87,1,0,Good
S0248,22,Male,100.0,1.5,99.8,70.1,7.54,1,0,Excellent
S0249,20,Female,99.9,3.6,95.4,46.2,5.75,1,0,Excellent
S0250,21,Male,68.1,3.4,65.6,45.8,4.59,0,0,Average
S0251,21,Female,66.0,8.9,100.0,69.5,5.88,1,0,Excellent
S0252,20,Male,82.0,4.9,89.5,64.0,4.5,1,0,Good
S0253,21,Male,60.0,1.2,87.7,40.8,6.08,0,0,Average
S0254,20,Female,79.5,2.9,100.0,52.1,5.5,1,1,Good
S0255,19,Female,86.5,6.0,70.3,67.2,5.64,0,0,Excellent
S0256,20,Male,93.4,8.2,90.9,70.8,7.31,1,1,Excellent
S0257,20,Female,73.5,0.8,68.6,55.6,4.56,0,0,Average
S0258,21,Male,71.9,0.2,51.9,48.9,5.26,1,0,Average
S0259,21,Female,61.8,7.7,95.6,68.6,5.98,1,0,Excellent
S0260,18,Female,62.6,4.8,100.0,45.5,5.24,1,0,Good
S0261,18,Male,71.6,2.3,52.0,47.7,4.81,1,0,Average
S0262,19,Male,80.5,5.1,84.7,57.0,4.26,1,0,Good
S0263,18,Male,88.7,0.0,84.6,38.6,4.38,0,0,Average
S0264,20,Female,63.0,4.0,84.8,53.8,6.07,1,0,Good
S0265,21,Female,97.4,4.7,82.7,59.0,5.52,1,1,Excellent
S0266,18,Male,70.9,5.8,67.1,63.9,6.45,1,0,Excellent
S0267,18,Male,74.7,2.0,82.5,39.8,4.0,0,0,At Risk
S0268,19,Female,63.8,4.2,72.0,65.5,5.91,1,0,Good
S0269,23,Other,38.6,2.1,46.4,30.7,4.0,1,1,At Risk
S0270,19,Female,88.3,4.5,100.0,61.7,6.3,1,0,Excellent
S0271,20,Male,86.1,2.2,93.8,58.8,5.55,0,0,Good
S0272,21,Male,70.8,3.2,82.2,46.3,5.33,0,0,Average
S0273,19,Male,76.0,2.0,82.4,55.6,6.21,1,0,Good
S0274,18,Female,82.7,5.3,100.0,50.9,5.61,0,0,Excellent
S0275,21,Male,51.6,5.7,89.8,64.2,6.07,1,1,Good
S0276,21,Female,67.1,3.5,95.6,50.7,4.24,0,0,Average
S0277,18,Male,86.9,4.1,78.7,53.6,5.21,1,0,Good
S0278,19,Female,56.2,1.1,96.9,37.8,4.0,0,0,At Risk
S0279,18,Female,79.4,3.4,86.6,60.5,5.35,1,0,Good
S0280,23,Female,54.7,3.9,85.7,43.4,4.3,1,0,At Risk
S0281,21,Male,82.0,9.2,74.3,66.2,5.19,0,0,Excellent
S0282,22,Male,74.5,1.8,82.9,46.0,4.0,0,0,Average
S0283,22,Male,50.8,6.9,76.3,46.5,4.26,0,0,Average
S0284,20,Female,92.5,6.0,77.4,80.3,6.97,1,0,Excellent
S0285,18,Female,64.0,4.6,72.0,48.5,4.0,1,1,Average
S0286,18,Female,62.8,7.5,74.0,68.0,6.09,1,0,Excellent
S0287,20,Female,78.0,4.7,100.0,59.2,7.07,1,0,Excellent
S0288,20,Female,92.2,4.8,100.0,54.2,6.07,1,0,Excellent
S0289,20,Male,59.8,3.9,100.0,49.6,6.29,0,0,Good
S0290,21,Female,75.9,6.4,69.5,68.2,6.4,0,0,Excellent
S0291,23,Male,81.4,6.2,88.5,61.5,6.62,0,0,Excellent
S0292,18,Male,85.4,2.7,61.0,63.3,5.22,1,1,Good
S0293,21,Male,77.6,1.4,67.4,55.7,4.83,1,1,Average
S0294,20,Male,69.5,3.6,68.4,59.0,4.0,0,0,Average
S0295,18,Male,62.6,2.4,98.4,42.3,5.49,1,1,Average
S0296,21,Female,76.3,3.9,76.9,46.0,5.99,1,1,Good
S0297,23,Male,58.9,6.5,100.0,52.3,4.7,1,0,Good
S0298,21,Female,31.2,3.1,90.3,40.2,4.21,0,1,At Risk
S0299,23,Male,81.5,3.9,100.0,60.5,5.03,0,0,Good
S0300,20,Male,88.6,4.1,61.0,41.5,4.8,1,0,Average
S0301,23,Male,39.6,5.7,100.0,48.9,5.83,1,0,Average
S0302,18,Male,59.9,0.0,92.2,39.2,4.0,1,0,At Risk
S0303,20,Female,84.3,2.8,66.0,51.5,5.42,0,0,Good
S0304,18,Male,100.0,4.4,98.9,73.5,6.19,0,0,Excellent
S0305,22,Female,75.3,6.4,92.8,65.2,6.0,1,1,Excellent
S0306,19,Male,64.1,3.0,77.6,58.7,5.89,1,1,Good
S0307,23,Female,72.3,0.2,63.0,40.6,4.29,1,1,At Risk
S0308,19,Female,95.6,5.2,74.6,71.8,6.23,1,1,Excellent
S0309,19,Female,65.3,2.7,100.0,60.8,5.48,0,1,Good
S0310,23,Male,63.0,1.6,78.2,54.2,6.03,1,0,Good
S0311,20,Male,67.8,2.8,92.3,40.0,4.74,1,0,Average
S0312,22,Male,60.7,3.6,70.3,47.0,5.0,0,0,Average
S0313,18,Female,76.8,2.8,68.9,48.7,4.0,1,1,Average
S0314,21,Male,99.4,0.0,91.2,53.7,4.92,0,0,Good
S0315,18,Male,79.8,5.8,66.4,66.8,6.73,0,1,Excellent
S0316,21,Female,71.2,6.5,81.8,54.1,5.28,0,0,Good
S0317,18,Male,70.6,5.3,86.1,57.6,5.98,0,0,Good
S0318,23,Female,51.6,1.7,80.1,24.4,4.88,0,1,At Risk
S0319,22,Male,88.2,3.6,79.5,68.8,6.96,1,0,Excellent
S0320,21,Male,73.8,4.0,88.9,50.0,5.07,1,0,Good
S0321,20,Female,72.3,5.2,95.8,57.7,5.05,1,0,Good
S0322,18,Male,100.0,5.3,96.6,63.4,4.0,0,0,Excellent
S0323,18,Female,79.5,2.5,65.2,60.5,5.5,0,1,Good
S0324,21,Male,63.7,4.2,79.1,29.0,4.0,1,0,At Risk
S0325,20,Male,68.6,4.9,100.0,55.1,5.62,0,0,Good
S0326,20,Female,92.2,6.9,100.0,67.5,5.93,0,0,Excellent
S0327,23,Female,76.7,5.4,65.2,55.6,5.08,1,1,Good
S0328,23,Female,53.4,5.6,91.5,66.6,4.57,1,0,Good
S0329,23,Male,88.8,4.2,53.7,52.1,4.37,1,0,Average
S0330,23,Female,65.0,6.8,89.3,66.1,6.35,1,1,Excellent
S0331,23,Male,100.0,4.8,100.0,67.3,7.41,0,0,Excellent
S0332,23,Male,91.2,2.3,65.4,64.4,5.79,1,1,Excellent
S0333,22,Female,68.3,6.8,76.1,55.6,5.6,0,0,Good
S0334,20,Male,94.2,5.4,97.3,58.6,6.28,1,0,Excellent
S0335,23,Female,76.0,3.1,58.1,60.9,5.01,0,0,Good
S0336,20,Male,87.8,3.0,71.5,58.7,5.82,1,1,Good
S0337,20,Male,82.3,4.6,93.1,46.1,4.17,0,1,Average
S0338,19,Female,62.3,4.9,75.3,49.1,5.64,1,0,Good
S0339,22,Female,65.3,4.4,80.3,55.9,5.48,1,0,Good
S0340,23,Female,90.4,4.6,95.4,67.6,6.29,1,1,Excellent
S0341,18,Female,70.0,7.4,96.1,57.8,4.84,1,0,Good
S0342,21,Female,68.9,6.1,91.2,35.7,4.71,1,1,Average
S0343,18,Female,60.7,4.4,78.7,55.6,7.0,1,0,Good
S0344,22,Female,81.4,5.9,92.4,52.4,4.34,1,1,Good
S0345,21,Male,100.0,1.9,76.9,39.6,4.1,1,0,Average
S0346,22,Male,59.0,4.8,91.5,29.4,4.0,1,0,At Risk
S0347,20,Male,75.4,7.6,82.7,71.9,6.94,1,0,Excellent
S0348,21,Other,96.2,3.6,79.5,60.7,5.19,1,1,Excellent
S0349,20,Female,73.8,2.3,64.8,47.2,4.0,1,0,At Risk
S0350,18,Male,81.8,2.7,79.9,63.8,6.92,1,0,Excellent
S0351,18,Female,59.1,1.8,66.4,48.2,5.5,1,0,Average
S0352,21,Female,81.4,2.4,63.1,64.6,4.48,1,0,Good
S0353,21,Male,72.2,3.3,85.5,40.4,4.0,0,1,Average
S0354,23,Female,89.8,1.2,80.6,50.3,6.27,1,1,Good
S0355,22,Female,92.8,4.0,94.7,46.9,5.97,1,0,Excellent
S0356,23,Male,100.0,5.8,80.1,65.6,6.69,1,1,Excellent
S0357,22,Female,83.7,2.2,85.5,49.7,4.84,1,1,Good
S0358,23,Male,79.9,7.0,97.3,70.0,6.27,0,1,Excellent
S0359,20,Female,77.9,5.0,91.7,58.7,5.42,1,0,Good
S0360,21,Other,69.7,6.1,74.8,64.2,6.75,1,1,Excellent
S0361,18,Female,80.1,2.7,82.6,57.8,4.77,1,0,Good
S0362,22,Male,70.6,5.7,91.9,75.5,5.89,0,0,Excellent
S0363,22,Female,77.5,1.8,78.7,46.1,5.57,1,1,Average
S0364,18,Female,94.8,5.8,55.3,58.3,5.46,1,0,Excellent
S0365,23,Male,59.9,4.3,86.0,52.8,6.27,0,0,Good
S0366,22,Female,92.1,5.1,100.0,56.5,4.85,0,1,Excellent
S0367,20,Male,94.8,1.6,72.8,65.1,5.86,0,1,Excellent
S0368,21,Female,73.2,2.2,68.5,46.3,4.04,1,0,Average
S0369,18,Male,43.2,5.2,91.0,44.0,4.65,0,1,Average
S0370,21,Male,65.9,2.1,83.9,42.3,4.0,0,0,At Risk
S0371,22,Male,94.5,4.9,100.0,68.8,5.74,1,0,Excellent
S0372,22,Female,74.7,1.3,58.7,45.0,4.0,0,1,At Risk
S0373,18,Male,60.0,5.7,97.4,50.0,5.56,0,0,Good
S0374,20,Female,67.4,1.5,86.9,58.0,6.05,1,0,Good
S0375,19,Male,87.6,5.1,83.1,54.7,4.0,1,0,Good
S0376,18,Male,83.2,5.3,90.7,61.1,6.73,1,0,Excellent
